group,n,mae_form,mae_band
SG33_Al0.6_Ga0.3,4,0.0062362763742475485,0.06411569387204907
SG33_Al0.6_Ga0.4,4,0.004477257789951188,0.04416402985134016
SG33_Al0.7_Ga0.1,2,0.02375108274691108,0.07490529006709301
SG33_Al0.7_Ga0.2,2,0.003517648402237575,0.07510390069278916
SG33_Al0.7_Ga0.3,3,0.003404968948697661,0.09087961272028548
SG33_Al0.8_Ga0.0,2,0.006197088185626726,0.11197949948888075
SG33_Al0.8_Ga0.1,6,0.008951112903105227,0.061551727631439755
SG33_Al0.8_Ga0.2,1,0.00124290446532771,0.04062356407679113
SG33_Al0.9_Ga0.0,3,0.0026732649587234516,0.07604941693303251
SG33_Al0.9_Ga0.1,1,0.004775912302754086,0.1627919924715595
